linux,chrome,streaming_twitch,6993,72,1321,86.13270413,122.2463965,21,64,72,6659,84,146,1321,64,0,0,6700,95.81,0,0,0,0,0,0,1,0.01
linux,chrome,streaming_twitch,7606,72,1321,84.55048646,115.3724411,15,64,72,7197,84,255,1321,63,0,0,7204,94.71,0,0,0,0,0,0,0,0
linux,chrome,streaming_twitch,7164,72,1321,85.35622557,119.7672476,15,64,72,6872,84,105,1321,64,16,0.22,6902,96.34,0,0,0,0,0,0,0,0
linux,chrome,streaming_twitch,7277,72,1321,84.75401951,117.9536536,16,64,72,7104,1321,63,221,31,0,0,7129,97.97,0,0,0,0,0,0,0,0
linux,chrome,streaming_twitch,7406,72,1321,87.33337834,127.4626885,20,64,72,6981,84,137,1321,75,0,0,7055,95.26,0,0,0,0,0,0,0,0
linux,chrome,streaming_twitch,7166,72,1321,86.14680435,121.2076752,31,64,72,6823,84,97,1321,63,1,0.01,6878,95.98,0,0,0,0,0,0,1,0.01
linux,chrome,streaming_twitch,7209,60,1321,85.05063116,119.3609821,14,64,72,6979,84,95,1321,64,2,0.03,6980,96.82,0,0,0,0,0,0,0,0
linux,chrome,streaming_twitch,7302,72,1321,85.9997261,121.8471671,28,64,72,7010,1321,66,84,58,2,0.03,7051,96.56,0,0,0,0,0,0,0,0
linux,chrome,streaming_twitch,7003,72,1321,88.41253748,131.0007936,20,64,72,6514,84,168,100,121,0,0,6559,93.66,0,0,0,0,0,0,0,0
linux,chrome,streaming_twitch,7416,72,1321,84.93230852,117.7429951,19,64,72,7166,1321,64,100,47,0,0,7191,96.97,0,0,0,0,0,0,0,0
linux,chrome,streaming_twitch,7078,72,1321,87.02331167,125.64327,32,64,72,6768,84,76,1321,67,1,0.01,6805,96.14,0,0,0,0,0,0,1,0.01
linux,chrome,streaming_twitch,7497,72,1321,85.26023743,116.2531202,14,64,72,7047,100,200,84,97,0,0,7064,94.22,0,0,0,0,0,0,0,0
linux,chrome,streaming_twitch,7108,72,1321,85.88787282,120.2393702,16,64,72,6715,84,87,100,86,1,0.01,6796,95.61,0,0,0,0,0,0,0,0
linux,chrome,streaming_twitch,7270,72,1321,87.33136176,128.639721,21,64,72,6998,100,76,1321,75,0,0,7018,96.53,0,0,0,0,0,0,0,0
linux,chrome,streaming_twitch,8894,72,1321,93.13436024,147.2377822,41,64,72,8016,84,438,1321,117,5,0.06,8072,90.76,4,0.04,0,0,0,0,2,0.02
